filters,1st_dense,lr,momentum,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,loss_0,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,loss_8,loss_9,loss_10,loss_11
8,60,0.0002146947478669345,0.6796365339918536,0.8130714297294617,0.8656428456306458,0.8842142820358276,0.8923571705818176,0.8996428847312927,0.9057142734527588,0.9108571410179138,0.9132857322692871,0.9160000085830688,0.919785737991333,0.9213571548461914,0.9246428608894348,0.9165459871292114,0.5246433615684509,0.4198956787586212,0.3739795684814453,0.347352534532547,0.32680147886276245,0.3126194179058075,0.30121031403541565,0.28947168588638306,0.28096896409988403,0.2715661823749542,0.26394063234329224
8,140,0.03529579170048468,0.02288085112055649,0.9480714201927185,0.9697856903076172,0.9683571457862854,0.9765714406967163,0.9800000190734863,0.9804999828338623,0.9808571338653564,0.9819999933242798,0.9832857251167297,0.9819285869598389,0.9833571314811707,0.9858571290969849,0.17487554252147675,0.09786323457956314,0.09549097716808319,0.07335495203733444,0.0621752105653286,0.062255728989839554,0.06018581986427307,0.05551529303193092,0.05501982942223549,0.05761442333459854,0.05290788784623146,0.04872622713446617
128,180,5.306215550639851e-05,0.10974751092039725,0.8341428637504578,0.8714285492897034,0.8850714564323425,0.8933571577072144,0.8977857232093811,0.9024999737739563,0.9060714244842529,0.9103571176528931,0.912928581237793,0.915142834186554,0.9173571467399597,0.9198571443557739,0.7917748093605042,0.5567414164543152,0.4665009379386902,0.4165502190589905,0.3837474584579468,0.35965320467948914,0.3414607048034668,0.32643747329711914,0.31459155678749084,0.30371835827827454,0.2943623960018158,0.28626641631126404
64,140,0.07091037773777695,0.7520850251405711,0.9809285998344421,0.9812856912612915,0.9845714569091797,0.9855714440345764,0.9851428866386414,0.9850714206695557,0.9850000143051147,0.9880714416503906,0.9877142906188965,0.987928569316864,0.9881428480148315,0.9880714416503906,0.06543024629354477,0.061500389128923416,0.052196331322193146,0.054305873811244965,0.057565417140722275,0.06188537925481796,0.06505013257265091,0.05757426097989082,0.06066963076591492,0.06233435496687889,0.06355319917201996,0.06467778980731964
16,60,0.002366147555895849,0.66142760925837,0.9287142753601074,0.943928599357605,0.9568571448326111,0.961642861366272,0.9640714526176453,0.9698571562767029,0.9725000262260437,0.9734285473823547,0.9755714535713196,0.9764285683631897,0.9767857193946838,0.9761428833007812,0.24406301975250244,0.19298531115055084,0.15323500335216522,0.1298685073852539,0.12216129899024963,0.10481701046228409,0.09637214988470078,0.08982878923416138,0.08154004067182541,0.07948856800794601,0.07656696438789368,0.07715128362178802
64,200,0.00017256884595371558,0.32144052014620417,0.880642831325531,0.8993571400642395,0.9089285731315613,0.9157142639160156,0.9210714101791382,0.9244999885559082,0.9282143115997314,0.9317857027053833,0.9343571662902832,0.9361428618431091,0.9390000104904175,0.9402142763137817,0.49837377667427063,0.3815504014492035,0.33362579345703125,0.30398643016815186,0.2841161787509918,0.26818326115608215,0.25474071502685547,0.24424320459365845,0.2342311590909958,0.22593913972377777,0.2182593196630478,0.21258513629436493
16,60,0.0003446027585481909,0.8147122053880897,0.9021428823471069,0.918571412563324,0.9268571138381958,0.9349285960197449,0.9388571381568909,0.9434285759925842,0.9485714435577393,0.9514285922050476,0.9537857174873352,0.9572142958641052,0.9567142724990845,0.9596428275108337,0.3528825640678406,0.2884940505027771,0.25070586800575256,0.22714683413505554,0.21262972056865692,0.19301578402519226,0.1810399889945984,0.16966547071933746,0.16019228100776672,0.15143045783042908,0.14821013808250427,0.13869540393352509
8,200,0.01793604867713717,0.6591540269513991,0.955214262008667,0.9679285883903503,0.9769285917282104,0.9779285788536072,0.9800000190734863,0.9817143082618713,0.9839285612106323,0.9842143058776855,0.9851428866386414,0.9837856888771057,0.9842143058776855,0.9856428503990173,0.14729973673820496,0.10442061722278595,0.0770622044801712,0.07101721316576004,0.06860588490962982,0.06067518889904022,0.0517536997795105,0.05506943538784981,0.05487602576613426,0.05902639776468277,0.05723874270915985,0.05161387473344803
16,100,0.0002483253682465162,0.7261934664000883,0.8747857213020325,0.8992142677307129,0.9102143049240112,0.9173571467399597,0.923714280128479,0.9287142753601074,0.9330000281333923,0.9347857236862183,0.9398571252822876,0.9415000081062317,0.9435714483261108,0.9441428780555725,0.48879915475845337,0.3583028316497803,0.30711880326271057,0.27748629450798035,0.2580059766769409,0.24115298688411713,0.22742804884910583,0.21710583567619324,0.2049923837184906,0.19641940295696259,0.18783515691757202,0.1821833699941635
64,160,0.0651199008543924,0.6864501479091464,0.9750714302062988,0.9813571572303772,0.9802857041358948,0.9854285717010498,0.9833571314811707,0.985785722732544,0.9857142567634583,0.9866428375244141,0.9867857098579407,0.9873571395874023,0.9867143034934998,0.9866428375244141,0.08766506612300873,0.059939272701740265,0.06459103524684906,0.05166047811508179,0.0568092055618763,0.05553028732538223,0.05308935418725014,0.05638816952705383,0.05647137016057968,0.058249346911907196,0.0596604086458683,0.060338202863931656
